x,y,z
-3.515949081071214066e-01,-5.145256965589689591e-02,-2.152563221466017584e-01
-3.515243322509694068e-01,-5.128006540943180758e-02,-2.152338541203994704e-01
-3.514991736562598779e-01,-5.106589856880189293e-02,-2.151469415407828156e-01
-3.515018719249163870e-01,-5.087578200908454695e-02,-2.151125242732105092e-01
-3.515584806473007196e-01,-5.066533127145150806e-02,-2.149991263005348874e-01
-3.516352461893774706e-01,-5.040007829381382143e-02,-2.149004277477316871e-01
-3.516934980006464206e-01,-5.016360425994287331e-02,-2.148833540886752325e-01
-3.517183687039863726e-01,-4.994740463997610069e-02,-2.148494095946285876e-01
-3.517689083886225698e-01,-4.972807533454387530e-02,-2.148094857086749465e-01
-3.517607756830726795e-01,-4.948554704709179353e-02,-2.147899624388447670e-01
-3.516655437587606348e-01,-4.927312457575178106e-02,-2.148338337451248525e-01
-3.515840215847095274e-01,-4.908855237968973162e-02,-2.148506623066881172e-01
-3.513634570115481970e-01,-4.897193291197238230e-02,-2.149559550813974207e-01
-3.511411049494275183e-01,-4.884989753949037228e-02,-2.150244619867083540e-01
-3.509241211435223939e-01,-4.875931876783384800e-02,-2.150876779077670331e-01
-3.507471197891451342e-01,-4.867380307662821926e-02,-2.151225727918303077e-01
-3.505851469464107972e-01,-4.856270648656296762e-02,-2.151344459428728151e-01
-3.504579303011301494e-01,-4.852885792106936824e-02,-2.150875208866055155e-01
-3.503689392203862552e-01,-4.847046111691794001e-02,-2.150147330528524858e-01
-3.502808753885050530e-01,-4.845046535912794772e-02,-2.149711235127405307e-01
-3.502370859646894430e-01,-4.847166930507013083e-02,-2.148719125166815014e-01
-3.501872347809575348e-01,-4.844241859357273361e-02,-2.147549752542620427e-01
-3.501478653166941180e-01,-4.847652245032735285e-02,-2.146602062622838814e-01
-3.500634403522040472e-01,-4.846813299706459466e-02,-2.145717651598922637e-01
-3.499722941535837739e-01,-4.841778883179242987e-02,-2.144617797620870514e-01
-3.498680911985342923e-01,-4.842817732461307534e-02,-2.143325879749456153e-01
-3.497225291190454999e-01,-4.839767991998650265e-02,-2.142119760995761235e-01
-3.496125225288556071e-01,-4.849912739374223625e-02,-2.140825695319430177e-01
-3.494594922384561264e-01,-4.858376067537845122e-02,-2.139321920821373457e-01
-3.493347176370025231e-01,-4.869927645706789709e-02,-2.137733915018358022e-01
-3.491884172088784433e-01,-4.879424904819978925e-02,-2.135490800838949210e-01
-3.489924117895670808e-01,-4.892053793291400998e-02,-2.133956029661442655e-01
-3.488503973656705281e-01,-4.903037595565334916e-02,-2.131624328128871870e-01
-3.486683659761216636e-01,-4.915878876810880760e-02,-2.129599150730548673e-01
-3.484608783580601110e-01,-4.926115239980960459e-02,-2.127528465361666898e-01
-3.481949499467211218e-01,-4.932107739161567528e-02,-2.125555874351203189e-01
-3.480092176231793233e-01,-4.940485831412549933e-02,-2.123099984292637632e-01
-3.478134370109334794e-01,-4.942452780619793762e-02,-2.121468479320027523e-01
-3.477116678966814534e-01,-4.947928173718890710e-02,-2.119074831798962999e-01
-3.476687144340804281e-01,-4.955227677929924246e-02,-2.116559978463689873e-01
-3.475744143902409489e-01,-4.964531892744700192e-02,-2.114341026621415209e-01
-3.474887913519442151e-01,-4.977587075842299091e-02,-2.112131833256064295e-01
-3.473697708367107784e-01,-4.989684043297687444e-02,-2.110335241517489469e-01
-3.472039439290051654e-01,-5.004456583653288382e-02,-2.108684092326435222e-01
-3.469591230369861168e-01,-5.009778502093359398e-02,-2.106868158238494326e-01
-3.466958868783921455e-01,-5.011374347550828778e-02,-2.104707562719616287e-01
-3.464078455805348344e-01,-5.015229776434798614e-02,-2.102167548995714230e-01
-3.462064839723400511e-01,-5.026458746107648201e-02,-2.099245234612957811e-01
-3.460093897151194642e-01,-5.041728914038484666e-02,-2.096647212200799526e-01
-3.457341420918706998e-01,-5.059427669977706321e-02,-2.094162139075989304e-01
-3.454091555943366587e-01,-5.077393650966571803e-02,-2.091444641973633500e-01
-3.449810458843961536e-01,-5.090950811992461800e-02,-2.089279792309247930e-01
-3.445970477022038403e-01,-5.097846658888988136e-02,-2.087130000868810675e-01
-3.443371271038507264e-01,-5.110812549544080374e-02,-2.084596755549770752e-01
-3.441383412547027176e-01,-5.126631451588709032e-02,-2.081774820918241009e-01
-3.439271936978549604e-01,-5.141736789452083789e-02,-2.078693976756438577e-01
-3.435399901577279036e-01,-5.156137442250313674e-02,-2.076250359066067475e-01
-3.430971961303778683e-01,-5.167854863358017914e-02,-2.074256230480059637e-01
-3.424784939988069210e-01,-5.178886942731425469e-02,-2.072346604286548211e-01
-3.420594644620886249e-01,-5.210519379514794158e-02,-2.069340388510483020e-01
-3.416869185925164865e-01,-5.242148215474079498e-02,-2.066554209264803987e-01
-3.412129934455734315e-01,-5.273534762330273074e-02,-2.064345035193885791e-01
-3.405698137549858506e-01,-5.299523478267870180e-02,-2.062995434812079087e-01
-3.399648217314365506e-01,-5.324800158861625610e-02,-2.062063646364512282e-01
-3.393761958758474973e-01,-5.344524520712917726e-02,-2.060796544304517031e-01
-3.387182377009811951e-01,-5.362115335389455728e-02,-2.060841175394505786e-01
-3.379151645839370555e-01,-5.380497377607790233e-02,-2.061754450850095677e-01
-3.372374325093132619e-01,-5.388420115696218593e-02,-2.062132256439101752e-01
-3.366414378989232015e-01,-5.396679751550154114e-02,-2.061695669227740224e-01
-3.358185078128289036e-01,-5.401534218380626973e-02,-2.061677596307876781e-01
-3.349160207987572080e-01,-5.418519535580207380e-02,-2.062414926799868986e-01
-3.341536698967451646e-01,-5.435793820016859845e-02,-2.061733109854721746e-01
-3.333296574756244857e-01,-5.471503796941229458e-02,-2.060916255500136185e-01
-3.324953411141706727e-01,-5.506061600010697665e-02,-2.060176044367749981e-01
-3.317061276246899282e-01,-5.537636077048885275e-02,-2.058453901798022734e-01
-3.308618491831564756e-01,-5.577602203556070171e-02,-2.056292196606638589e-01
-3.300292051901571599e-01,-5.603035624416813354e-02,-2.053419916270764756e-01
-3.291791600890373037e-01,-5.627914477852152819e-02,-2.050422894093200943e-01
-3.282039546290052567e-01,-5.658114927547946982e-02,-2.047852971676066003e-01
-3.274676771558524546e-01,-5.685544392887903475e-02,-2.044077694099412368e-01
-3.264581610104068665e-01,-5.713370028760506036e-02,-2.040582312658591746e-01
-3.254377433529400676e-01,-5.753639445148189813e-02,-2.036994545503615361e-01
-3.244505676582727927e-01,-5.791838008949218297e-02,-2.032543557576522442e-01
-3.235800495477270666e-01,-5.840710866139792179e-02,-2.025614555689689567e-01
-3.228265119716640097e-01,-5.891652077641656993e-02,-2.018674443929063533e-01
-3.219751974948420470e-01,-5.941897267028822816e-02,-2.012093920278918147e-01
-3.212597973529148221e-01,-6.001166336013857849e-02,-2.004236811513878946e-01
-3.203784633462934406e-01,-6.056266177283026186e-02,-1.996323406241317100e-01
-3.195279834300935318e-01,-6.117843938677397508e-02,-1.987013331635520130e-01
-3.186553317156841647e-01,-6.168617953517591124e-02,-1.977827821777741468e-01
-3.179015407228195644e-01,-6.227258919914907542e-02,-1.967413723476613974e-01
-3.171366279670540522e-01,-6.289291904822297274e-02,-1.956754929051210679e-01
-3.163855112795485591e-01,-6.358769688170967660e-02,-1.945327345943302089e-01
