x,y,z
-3.104537721123425409e-01,-1.329030348785853466e-02,-2.798285401601872668e-01
-3.101938260176282380e-01,-1.356554966530343354e-02,-2.796390322159388875e-01
-3.099037683143112676e-01,-1.367383907779384788e-02,-2.794337461097821107e-01
-3.095720933731433977e-01,-1.378683170980743444e-02,-2.791993115147355375e-01
-3.093254396193602651e-01,-1.390314408984061334e-02,-2.789309276750945865e-01
-3.089775308832790612e-01,-1.421117053683229603e-02,-2.786235470474067721e-01
-3.086702035210492912e-01,-1.454231647639503411e-02,-2.783986300812307246e-01
-3.082279594974957626e-01,-1.471218214362146615e-02,-2.781283711601417741e-01
-3.077490494660595211e-01,-1.474034229936649343e-02,-2.779140274781640718e-01
-3.073318700593551389e-01,-1.480893423948537180e-02,-2.777584016454587856e-01
-3.068954252847910791e-01,-1.528013518226079004e-02,-2.775120121952949215e-01
-3.064568489026511244e-01,-1.551728480010894362e-02,-2.774234637758074551e-01
-3.059573517019231748e-01,-1.572273707204996374e-02,-2.772713611734452521e-01
-3.054009292833496092e-01,-1.587641764605252082e-02,-2.771480930567050138e-01
-3.048202147183234900e-01,-1.629956415256483826e-02,-2.768224636683437878e-01
-3.044381663832994023e-01,-1.666807977694440002e-02,-2.764786681912869692e-01
-3.039543559101876569e-01,-1.694399110701383382e-02,-2.761605559929970477e-01
-3.034494407593700260e-01,-1.737358957893164746e-02,-2.758248407228719445e-01
-3.027585876941431553e-01,-1.772697956465052460e-02,-2.756780043035241823e-01
-3.022111243705522532e-01,-1.806257325563997984e-02,-2.755195470364850685e-01
-3.015342394071680032e-01,-1.850404074326050807e-02,-2.752358973267373110e-01
-3.008951196859804278e-01,-1.894527044951399564e-02,-2.750121266029869616e-01
-3.004548050158911132e-01,-1.924048854116489071e-02,-2.746792282696050580e-01
-2.997270600669629248e-01,-1.965140795306130617e-02,-2.744113147347886361e-01
-2.990132408319092217e-01,-2.004090042461126320e-02,-2.742117952385615398e-01
-2.984664368355374742e-01,-2.034094591171797806e-02,-2.740294833411890951e-01
-2.977156968272245963e-01,-2.087546459490419171e-02,-2.738016595339108905e-01
-2.972082176870965986e-01,-2.086993665786540664e-02,-2.737948481203091866e-01
-2.963738812529851940e-01,-2.137334263161705383e-02,-2.734624590949294443e-01
-2.956867765869665710e-01,-2.189133788486252730e-02,-2.730874621464617902e-01
-2.950945426263484883e-01,-2.212521884082374601e-02,-2.727431293529357093e-01
-2.944013458587893539e-01,-2.243942072462712378e-02,-2.726323340213520074e-01
-2.935908075821080376e-01,-2.280027579110754932e-02,-2.724708617128215882e-01
-2.930259171743142543e-01,-2.316237223203654327e-02,-2.722658567464765200e-01
-2.923505714265743904e-01,-2.345509454590477549e-02,-2.720942146885147461e-01
-2.917077931907905430e-01,-2.379598415620531870e-02,-2.717194185475542145e-01
-2.909678622443237495e-01,-2.389858337293848667e-02,-2.714157463716619367e-01
-2.902054963092685069e-01,-2.399055298351104870e-02,-2.711362632970921727e-01
-2.894458831684066369e-01,-2.423030636046974440e-02,-2.707957248496589697e-01
-2.886835045220974005e-01,-2.439737782221584883e-02,-2.704815859421675905e-01
-2.878989410267461801e-01,-2.469297205606590939e-02,-2.701127697398349459e-01
-2.871529502915123877e-01,-2.504302481106102096e-02,-2.696032198084384879e-01
-2.865075481086118425e-01,-2.528714589686409386e-02,-2.692311397804503792e-01
-2.855803972930178736e-01,-2.575763455898461007e-02,-2.686112605782187690e-01
-2.848117892039334631e-01,-2.592726222577035333e-02,-2.679252213778411384e-01
-2.840253454960088852e-01,-2.632345097315280658e-02,-2.672871183790886396e-01
-2.833526170577751468e-01,-2.680457713589501356e-02,-2.665815938170810750e-01
-2.823780262137482455e-01,-2.724668450924128127e-02,-2.660013035855991470e-01
-2.818346863064281060e-01,-2.794710085225482477e-02,-2.653098386496506866e-01
-2.811894611749546358e-01,-2.830813704059764735e-02,-2.645335204237644344e-01
-2.804008738493297126e-01,-2.893709976878000578e-02,-2.637819879171167115e-01
-2.795761617019112411e-01,-2.924943060678952822e-02,-2.632912090946390449e-01
-2.786277049635199066e-01,-2.960075282474694536e-02,-2.626525461709645626e-01
-2.778004636271610983e-01,-2.989868923972871517e-02,-2.621799801441653810e-01
-2.769733588293738502e-01,-3.021517390630557021e-02,-2.616862676291000223e-01
-2.762549067395600466e-01,-3.069576699147813503e-02,-2.611310401169128492e-01
-2.756220777617613416e-01,-3.087176108098266258e-02,-2.605237935222468049e-01
-2.748363029369704780e-01,-3.121055423855534361e-02,-2.598015051032508405e-01
-2.740099463303442562e-01,-3.139467532118545012e-02,-2.592547670122558601e-01
-2.732245831113093160e-01,-3.147091436252857921e-02,-2.586774656532458416e-01
-2.724523630080201708e-01,-3.178934052259496656e-02,-2.579163396941793751e-01
-2.717338578804317506e-01,-3.214221091386282314e-02,-2.573140300821629700e-01
-2.709756129820877213e-01,-3.258955594539003631e-02,-2.567111274838548840e-01
-2.703190267018170667e-01,-3.300028022080880863e-02,-2.560590891454296858e-01
-2.694700446829602081e-01,-3.319828910068178818e-02,-2.554087058202861860e-01
-2.685607922449834706e-01,-3.352317566076667976e-02,-2.548830198052501328e-01
-2.679914862430081701e-01,-3.405150380699695223e-02,-2.545070604295604499e-01
-2.669956871302730517e-01,-3.453990864309119946e-02,-2.539355297344059181e-01
