x,y,z
-3.177638247023819029e-01,-7.564721135925668583e-02,-2.232710502868909819e-01
-3.178322135228472400e-01,-7.561336314715418061e-02,-2.232924116462375874e-01
-3.178696830227442649e-01,-7.557798078771184314e-02,-2.233478749292903687e-01
-3.178507023987863778e-01,-7.556521818119711631e-02,-2.234158068383706452e-01
-3.178668526820998541e-01,-7.553003631459932754e-02,-2.234991066032603890e-01
-3.179453595096317087e-01,-7.545708724686174540e-02,-2.235454665065220725e-01
-3.179476666410309682e-01,-7.547778983499799088e-02,-2.235967612798478998e-01
-3.179436458096475682e-01,-7.547315638971720253e-02,-2.236595983883269967e-01
-3.179609944167193780e-01,-7.545256136452262175e-02,-2.237201541997803633e-01
-3.179967662035080855e-01,-7.542136946742274139e-02,-2.237723360035473452e-01
-3.180306295373276915e-01,-7.543032033355547006e-02,-2.238115680098344829e-01
-3.180351436681727040e-01,-7.542428611042718833e-02,-2.238711365713094148e-01
-3.180437047395778261e-01,-7.542666303742286138e-02,-2.239374219083361539e-01
-3.180491168996309459e-01,-7.542615280085164520e-02,-2.240375972132169768e-01
-3.181111721609343745e-01,-7.537216040584961141e-02,-2.240836426364537504e-01
-3.180705074963134371e-01,-7.532313875810138504e-02,-2.241393867748635027e-01
-3.181700549863115124e-01,-7.520493256620798539e-02,-2.242490191033952307e-01
-3.182061390170966564e-01,-7.513630316623966243e-02,-2.243202521689673934e-01
-3.182012982646318933e-01,-7.514829233214594117e-02,-2.243464033651560441e-01
-3.181885370632074328e-01,-7.512736527508091788e-02,-2.243886858947126139e-01
-3.181985777581806674e-01,-7.507683575206981763e-02,-2.244068958827971083e-01
-3.182110409662425865e-01,-7.499343244141111475e-02,-2.244023184402654802e-01
-3.182517424944645845e-01,-7.492030971964992736e-02,-2.244116923951410825e-01
-3.182898588214658209e-01,-7.487215020743089033e-02,-2.244136191745421116e-01
-3.182675469612130104e-01,-7.484114442476154372e-02,-2.244130688873691160e-01
-3.181859392620373650e-01,-7.484974890555341764e-02,-2.244218209971670097e-01
-3.181882384829337052e-01,-7.481492445897099108e-02,-2.243777496675475880e-01
-3.181483598941762803e-01,-7.473040514037289361e-02,-2.243655109426130334e-01
-3.181036468103723425e-01,-7.468170572907729954e-02,-2.243248487627419463e-01
-3.181020744863226057e-01,-7.465553394311753854e-02,-2.242492907322864992e-01
-3.180275153899101981e-01,-7.468148046033408483e-02,-2.241922174542632096e-01
-3.180067942621455646e-01,-7.463641684981538182e-02,-2.241018306532326365e-01
-3.179706883788466221e-01,-7.463908081890337221e-02,-2.240060219866777391e-01
-3.178652549048734399e-01,-7.464441080843577103e-02,-2.239154637679264259e-01
-3.178173181878413689e-01,-7.464114313841054005e-02,-2.237810233012957339e-01
-3.176823739694989990e-01,-7.457724236453024125e-02,-2.236810720969523714e-01
-3.175680577130881033e-01,-7.461880398592359021e-02,-2.235540573299731881e-01
-3.174403199835154621e-01,-7.460743266708237675e-02,-2.234068612571868395e-01
-3.173544010859687403e-01,-7.454032220973906553e-02,-2.232657086880959207e-01
-3.171948276753470686e-01,-7.457935924781934622e-02,-2.231181362330782458e-01
-3.170563747940099986e-01,-7.461176269336745881e-02,-2.229564322001800769e-01
-3.169367806126040521e-01,-7.461519894336311742e-02,-2.228106271841756025e-01
-3.168064282352373584e-01,-7.465789245372035643e-02,-2.226456258219190465e-01
-3.166744402519660606e-01,-7.473057164038489353e-02,-2.224851842515563338e-01
-3.164741570767280465e-01,-7.480479632165994153e-02,-2.223573143521369588e-01
-3.162464745448214098e-01,-7.489915335228793103e-02,-2.222154352543980749e-01
-3.160204285468757868e-01,-7.495157580533752528e-02,-2.220936530034909873e-01
-3.157858710909407507e-01,-7.499605014683687065e-02,-2.219769901235547072e-01
-3.155687656255252160e-01,-7.498155348997349867e-02,-2.218956535452982215e-01
-3.152579877570220179e-01,-7.506201733197261083e-02,-2.217962919325023319e-01
-3.149665354873598111e-01,-7.510699976785541188e-02,-2.216726403172735727e-01
-3.146865698170537295e-01,-7.525243866386101266e-02,-2.215492117374604497e-01
-3.144671845280297418e-01,-7.533268813207029402e-02,-2.214060573872637105e-01
-3.142026631725871044e-01,-7.546363614544428222e-02,-2.212765414247922502e-01
-3.138178390293608344e-01,-7.562916220819050628e-02,-2.211083266124024282e-01
-3.133830582414963151e-01,-7.576474072053186737e-02,-2.209900394850394245e-01
-3.129668869919190466e-01,-7.589101607514016357e-02,-2.208907559667002696e-01
-3.126761675882456237e-01,-7.601353929015743083e-02,-2.207001411674465174e-01
-3.124092045885198954e-01,-7.607320220514103559e-02,-2.204671463722216451e-01
-3.120336208111040288e-01,-7.614553646917733565e-02,-2.202458582728075154e-01
-3.117028001342718180e-01,-7.612345517455522403e-02,-2.200507787349145761e-01
-3.111885764497898665e-01,-7.616074496682524730e-02,-2.199061825127027192e-01
-3.107810495086797409e-01,-7.630938446711467427e-02,-2.196960928997389595e-01
-3.103641670019568477e-01,-7.642081587091222039e-02,-2.194817408656256630e-01
-3.099170472939578036e-01,-7.653093022569591730e-02,-2.193004666856945839e-01
-3.095475885271329886e-01,-7.665116335728007491e-02,-2.190806440494631468e-01
-3.090591041494051283e-01,-7.678076598654061391e-02,-2.188669537576615753e-01
-3.085621783529926554e-01,-7.691490352359088567e-02,-2.186754429924653298e-01
-3.079680549331023642e-01,-7.702765289158665374e-02,-2.184667834085634031e-01
-3.075062251428417048e-01,-7.715391873453326943e-02,-2.182053419300861719e-01
-3.070189957185827656e-01,-7.722616527366489569e-02,-2.179643277751379116e-01
-3.064108561985398604e-01,-7.738924082155874962e-02,-2.177320520282770566e-01
-3.058571526745698654e-01,-7.750858497201597308e-02,-2.174634159081654250e-01
-3.053136816479835036e-01,-7.764434898323048506e-02,-2.171817732607325135e-01
-3.047784585436031368e-01,-7.774083042331038362e-02,-2.168822661436772825e-01
-3.042435355676202380e-01,-7.791367633036062890e-02,-2.165709882644508144e-01
-3.037262555902410788e-01,-7.813633661521492135e-02,-2.161884876632165220e-01
-3.031883380190595889e-01,-7.828048012621770246e-02,-2.158356046573405296e-01
-3.026670152352761156e-01,-7.841871568096560330e-02,-2.154754722365186392e-01
-3.020436468447412204e-01,-7.861425636607001499e-02,-2.151982457236207291e-01
-3.013515098766685330e-01,-7.876533465751424379e-02,-2.149332142029645731e-01
-3.007453468362060733e-01,-7.885208298016301021e-02,-2.146388206789861530e-01
-3.000014612876252262e-01,-7.898787964889154856e-02,-2.144031808560568075e-01
-2.992811694029277603e-01,-7.917160870830509956e-02,-2.140694050404671755e-01
-2.987089171072973559e-01,-7.929793407321418519e-02,-2.136087246314772869e-01
-2.982437615044801205e-01,-7.939904212054339772e-02,-2.130926693792121185e-01
-2.976744971946749252e-01,-7.955576435478074748e-02,-2.126438549523171906e-01
-2.971255635417379692e-01,-7.976669514946123363e-02,-2.121867722183014560e-01
-2.966353868761048562e-01,-7.992894963441389555e-02,-2.117308286390191530e-01
-2.959814178194220546e-01,-8.011625996596140331e-02,-2.113124901798405508e-01
-2.953039672016121719e-01,-8.023934236067410686e-02,-2.109304348332666224e-01
-2.947287969710719602e-01,-8.033004758248231403e-02,-2.104672059234952153e-01
-2.941413091280228875e-01,-8.040111476514190392e-02,-2.100070841623774553e-01
-2.935056709713134704e-01,-8.054309819957640448e-02,-2.095992331642583528e-01
-2.929142487733653044e-01,-8.067898347321501851e-02,-2.091632524283170702e-01
-2.923642261256459984e-01,-8.082191462570999241e-02,-2.087662225867908394e-01
-2.917688079862989503e-01,-8.094416536286831720e-02,-2.083653546226076902e-01
-2.911846461322855073e-01,-8.104766348808424559e-02,-2.079661706631360241e-01
-2.905817796569979961e-01,-8.123958947271904540e-02,-2.075572242656403832e-01
-2.900175350211178782e-01,-8.139612408818876210e-02,-2.070596561499817023e-01
-2.893604328368700185e-01,-8.162485148099242471e-02,-2.066254922408460315e-01
-2.887924475683371628e-01,-8.188404049308441179e-02,-2.061755295752095707e-01
-2.883005297051869920e-01,-8.206703313667097766e-02,-2.056823847881566469e-01
-2.877324759746827110e-01,-8.218471401433581625e-02,-2.052178528568361637e-01
-2.869432387184335798e-01,-8.240016321019751067e-02,-2.047993362453366939e-01
-2.862733242577484849e-01,-8.258828870790181631e-02,-2.043426481977199116e-01
-2.856184892220522964e-01,-8.268486330665804351e-02,-2.039518268354894026e-01
-2.849460819057705874e-01,-8.283150293320175328e-02,-2.035394151846786626e-01
-2.843289617433383820e-01,-8.301491108983806433e-02,-2.030525100382050141e-01
-2.838068817026608293e-01,-8.308918196679239421e-02,-2.026197161829185467e-01
-2.830907105733546092e-01,-8.321706271892050089e-02,-2.022165505314894585e-01
-2.824067832967808722e-01,-8.341606624370924428e-02,-2.017629467010589317e-01
-2.817846305713507804e-01,-8.360568500988509177e-02,-2.012822937777379306e-01
-2.810555195842154297e-01,-8.370239903360267297e-02,-2.008635443494505846e-01
-2.803884128117465901e-01,-8.381204425156808802e-02,-2.004636842194484625e-01
-2.797916860710621401e-01,-8.382007058715802705e-02,-1.999928698048967779e-01
-2.791198442626305343e-01,-8.390619514269949397e-02,-1.995476431711784016e-01
-2.783633823058594969e-01,-8.396382713917950602e-02,-1.991052175972186089e-01
-2.775526102250545635e-01,-8.409626751145395096e-02,-1.986516718503882895e-01
-2.766834250534248585e-01,-8.413336756211044209e-02,-1.982310797414698067e-01
-2.760383717828235883e-01,-8.417083190504061341e-02,-1.976851486746182274e-01
-2.753695501268391133e-01,-8.431750861448196466e-02,-1.970697698892882321e-01
-2.746216276312657967e-01,-8.451887832637029752e-02,-1.965699371289387765e-01
-2.738043251673795697e-01,-8.479506446301633693e-02,-1.960164342526510284e-01
-2.731074404434947200e-01,-8.503052140254964419e-02,-1.954334541594610064e-01
-2.724588977556854918e-01,-8.523190672930826273e-02,-1.947888640869917254e-01
-2.718135664984248634e-01,-8.548377536272989963e-02,-1.942136926152770171e-01
-2.712152302483893940e-01,-8.571507238842314413e-02,-1.935997833360663389e-01
-2.706183779093766506e-01,-8.588233045071670679e-02,-1.930625148963849846e-01
-2.698518058512959228e-01,-8.615086993262045800e-02,-1.925578841494215987e-01
-2.691687773568420261e-01,-8.637056204785355240e-02,-1.919385296048639056e-01
-2.683895878154307080e-01,-8.650071946555416835e-02,-1.914592460038917476e-01
-2.676438802953514107e-01,-8.668716040951841839e-02,-1.909868118724173947e-01
-2.669712093616105064e-01,-8.684155812802564489e-02,-1.904441325373608107e-01
-2.661833622808970623e-01,-8.707174890659032107e-02,-1.899527608861110994e-01
-2.653461948261010561e-01,-8.740929774376517136e-02,-1.894413722035953318e-01
-2.645801384053366179e-01,-8.772634543062308998e-02,-1.888695186201183318e-01
-2.639023601380007800e-01,-8.798453288088427249e-02,-1.882758995573001748e-01
-2.632761620146411574e-01,-8.834792043370622017e-02,-1.876687720180331698e-01
-2.627810846345285944e-01,-8.859920061461003249e-02,-1.870616158647341598e-01
-2.620108373412843306e-01,-8.892747798927515268e-02,-1.866179898384761338e-01
-2.612924948320591301e-01,-8.933214400083801243e-02,-1.860438951029675936e-01
-2.604771179518318713e-01,-8.967687831921312969e-02,-1.855906535269496727e-01
-2.596148154517491924e-01,-8.995003001884817329e-02,-1.852130411259812481e-01
-2.587905205417097565e-01,-9.020120601468874233e-02,-1.847606533840192855e-01
-2.579506509764156186e-01,-9.045657832015531474e-02,-1.843363923345479882e-01
-2.573014040348433062e-01,-9.063721229801781354e-02,-1.837887563319336726e-01
-2.565693671630854822e-01,-9.094925449571213127e-02,-1.832855495604258089e-01
-2.557775874337142041e-01,-9.125713045282370095e-02,-1.828150292200105553e-01
-2.550543543878346919e-01,-9.149882029796553573e-02,-1.822461478207801910e-01
-2.542230534831919075e-01,-9.174239648071615127e-02,-1.817890952214651357e-01
-2.534234418232312325e-01,-9.207432834965469104e-02,-1.813100318967439395e-01
-2.527054094366236181e-01,-9.253549858843825027e-02,-1.807291131033877396e-01
-2.519045950976805393e-01,-9.303298078704837215e-02,-1.801714073139344674e-01
-2.511324045432285490e-01,-9.344734515978227185e-02,-1.796234524683364142e-01
-2.502392149126648202e-01,-9.386762351464862653e-02,-1.791860640137513949e-01
-2.493726321013574609e-01,-9.425769180985578422e-02,-1.787768680579708835e-01
-2.485961731037488742e-01,-9.462600861089622006e-02,-1.782943106197414085e-01
-2.477152665009194066e-01,-9.507933473489983689e-02,-1.779267897073175397e-01
-2.468337850550439971e-01,-9.541891388447822087e-02,-1.775971062868620109e-01
-2.457997662786665649e-01,-9.572202070055481349e-02,-1.772883841982153541e-01
-2.448635556390960644e-01,-9.599581286586679474e-02,-1.768120878031377852e-01
-2.438257233370852428e-01,-9.620867849369253710e-02,-1.764345309301917630e-01
-2.429143503806353022e-01,-9.649658028384901221e-02,-1.758635600749536843e-01
-2.421600423820208792e-01,-9.693949634264455162e-02,-1.751634865746336256e-01
-2.414080353288983738e-01,-9.734211896972978784e-02,-1.744931309317957757e-01
-2.406387036114491784e-01,-9.772874141416156013e-02,-1.737959757665409610e-01
-2.397851882353838060e-01,-9.817265902558548751e-02,-1.731344931952923383e-01
-2.391501718746812943e-01,-9.860763009104579757e-02,-1.722672355860132842e-01
-2.384144425459113203e-01,-9.904039555060197009e-02,-1.715481522729005726e-01
-2.376019423532442221e-01,-9.946577867155727282e-02,-1.709212667430755339e-01
-2.365923224722050189e-01,-9.985943314291335915e-02,-1.703040357182590558e-01
-2.356646779987416340e-01,-1.002043204171080421e-01,-1.696096863538275046e-01
-2.348025304154132686e-01,-1.006090613177764853e-01,-1.688278624538328831e-01
-2.338609371942442228e-01,-1.010463581386650406e-01,-1.681677022625356621e-01
-2.329691171340328437e-01,-1.015036390062466071e-01,-1.675417183862233927e-01
-2.318244309681418147e-01,-1.019377222257057541e-01,-1.669604646859317310e-01
-2.310532835992126777e-01,-1.024086654510115851e-01,-1.660991703941084863e-01
-2.302197633980304636e-01,-1.028031166468007657e-01,-1.652734361792204953e-01
-2.293776772567567845e-01,-1.031666931410869653e-01,-1.644952469511838933e-01
-2.283444415182235843e-01,-1.034747513206285691e-01,-1.637894855286672058e-01
-2.274890083234268334e-01,-1.037709785010617752e-01,-1.630192247415906404e-01
-2.266097149264027499e-01,-1.040393609696813743e-01,-1.622403120279495292e-01
-2.257220204240891204e-01,-1.042919153625620071e-01,-1.615173653814625521e-01
-2.246886492371218957e-01,-1.045156226559015439e-01,-1.608326351677818455e-01
-2.237071472784649129e-01,-1.046700981475851139e-01,-1.602610910598756822e-01
-2.227737488656494347e-01,-1.048452040763775545e-01,-1.595798784815035676e-01
-2.217979812534886519e-01,-1.050041414860828498e-01,-1.588853690529021534e-01
-2.209921575824815299e-01,-1.051736602952949712e-01,-1.581579053255605660e-01
-2.200173091748917620e-01,-1.055218388328830331e-01,-1.576014284463712334e-01
-2.190949120549907092e-01,-1.059373841590657422e-01,-1.569759921061156804e-01
-2.181296763522876936e-01,-1.063304887248740643e-01,-1.562728173243313756e-01
-2.172496880361343696e-01,-1.064687017141942166e-01,-1.555486535473745990e-01
-2.163326503589188543e-01,-1.065799539265176593e-01,-1.548331593247457838e-01
-2.153285787888012393e-01,-1.068603447900734610e-01,-1.542268860061994651e-01
-2.144169224345716107e-01,-1.069658341698266485e-01,-1.535495752219890875e-01
-2.132625645411302950e-01,-1.070504436546148158e-01,-1.528725367707436111e-01
-2.124171140026464566e-01,-1.071483978592610159e-01,-1.520525707720001563e-01
-2.114936353409795911e-01,-1.073974387341522091e-01,-1.512947372124487377e-01
-2.105210384796518119e-01,-1.075510257229494032e-01,-1.504651705176071885e-01
-2.097080453708794479e-01,-1.076709533233989463e-01,-1.496277104911912237e-01
-2.088066435743514693e-01,-1.078150547477520066e-01,-1.488164449226654085e-01
-2.078862976849677469e-01,-1.081304855287491679e-01,-1.480651173308888124e-01
-2.069095682022987215e-01,-1.084414163548291926e-01,-1.473003840701698763e-01
-2.060438473270577719e-01,-1.087072527733589228e-01,-1.464948202072514916e-01
-2.049664640332983789e-01,-1.090007062267352028e-01,-1.457813289375865518e-01
-2.039505909861102917e-01,-1.092697415410443101e-01,-1.451055652988665345e-01
-2.028138781476671038e-01,-1.095550726426249982e-01,-1.443986986684229756e-01
-2.018108617968347729e-01,-1.096956976186834881e-01,-1.436814434259449658e-01
-2.009716690553124407e-01,-1.097536931893733497e-01,-1.428125425193450537e-01
-1.999293518639876921e-01,-1.096067475417633746e-01,-1.420837556064797336e-01
-1.988485548607822895e-01,-1.096068852082327100e-01,-1.412682781426113365e-01
-1.978555457223258318e-01,-1.096846676524595582e-01,-1.404303395646252506e-01
-1.968626271325994437e-01,-1.095960907846475069e-01,-1.395683730145343693e-01
-1.957811713946730481e-01,-1.096045220983933449e-01,-1.387954580992585008e-01
-1.947972326617445904e-01,-1.097657721614394705e-01,-1.380238649737739742e-01
-1.938189088989314413e-01,-1.098164083055962609e-01,-1.372119797344423242e-01
-1.928273721668375962e-01,-1.099374217795276026e-01,-1.365079305655325648e-01
-1.918186015835438574e-01,-1.101032252654409321e-01,-1.359202669107073547e-01
-1.906002365017984146e-01,-1.102819375339642166e-01,-1.354272707525021879e-01
-1.894014497657840468e-01,-1.104110980903655476e-01,-1.349399265048699392e-01
-1.881662580787523686e-01,-1.105671850476900447e-01,-1.344241064689774001e-01
-1.870284734000197679e-01,-1.107089976975878104e-01,-1.338726297405082588e-01
-1.856210471983987254e-01,-1.108297827394849749e-01,-1.334304430448225998e-01
-1.844304090873356006e-01,-1.108905174919966458e-01,-1.327504681997624947e-01
-1.833974106253197234e-01,-1.108427092782541395e-01,-1.319711259908202816e-01
