Boom Length (m),Sine Fit Freq (Hz),FFT Peak Freq (Hz)
0.0508,5.18482474,0.0916822
0.0508,5.12970192,0.0916321
0.0508,5.1068109,0.0916822
0.28575,3.4463593,3.85149457
0.28575,3.42884175,3.84770746
0.28575,3.43500412,3.84155173
0.54102,2.50461673,2.83966431
0.54102,2.50984751,2.83935413
0.54102,2.50343566,2.82669499
0.8001,2.03379515,2.19102987
0.8001,2.05234245,2.19724963
0.8001,2.0452157,2.19868998
1.08204,1.46918949,1.64470492
1.08204,1.46640822,1.64763712
1.08204,1.46765043,1.64991878
1.37414,1.14773501,1.28495572
1.37414,1.14630823,1.27907556
1.37414,1.14599525,1.27684963
1.66878,0.95274504,1.00652327
1.66878,0.95114905,1.00619388
1.66878,0.9520813,0.99748884
